employee_id,date,status
EMP0001,2026-03-26,Present
EMP0001,2026-03-25,Work From Home
EMP0001,2026-03-24,Present
EMP0001,2026-03-23,Present
EMP0001,2026-03-22,Absent
EMP0001,2026-03-21,Work From Home
EMP0001,2026-03-20,Present
EMP0001,2026-03-19,Present
EMP0001,2026-03-18,Present
EMP0001,2026-03-17,Present
EMP0001,2026-03-16,Work From Home
EMP0001,2026-03-15,Present
EMP0001,2026-03-14,Present
EMP0001,2026-03-13,Present
EMP0001,2026-03-12,Present
EMP0001,2026-03-11,Present
EMP0001,2026-03-10,Present
EMP0001,2026-03-09,Work From Home
EMP0001,2026-03-08,Present
EMP0001,2026-03-07,Present
EMP0001,2026-03-06,Work From Home
EMP0001,2026-03-05,Absent
EMP0001,2026-03-04,Present
EMP0001,2026-03-03,Present
EMP0001,2026-03-02,Work From Home
EMP0001,2026-03-01,Present
EMP0001,2026-02-28,Present
EMP0001,2026-02-27,Absent
EMP0001,2026-02-26,Present
EMP0001,2026-02-25,Present
EMP0002,2026-03-26,Absent
EMP0002,2026-03-25,Present
EMP0002,2026-03-24,Present
EMP0002,2026-03-23,Present
EMP0002,2026-03-22,Work From Home
EMP0002,2026-03-21,Present
EMP0002,2026-03-20,Present
EMP0002,2026-03-19,Work From Home
EMP0002,2026-03-18,Present
EMP0002,2026-03-17,Absent
EMP0002,2026-03-16,Work From Home
EMP0002,2026-03-15,Present
EMP0002,2026-03-14,Present
EMP0002,2026-03-13,Present
EMP0002,2026-03-12,Present
EMP0002,2026-03-11,Present
EMP0002,2026-03-10,Present
EMP0002,2026-03-09,Work From Home
EMP0002,2026-03-08,Absent
EMP0002,2026-03-07,Present
EMP0002,2026-03-06,Present
EMP0002,2026-03-05,Present
EMP0002,2026-03-04,Present
EMP0002,2026-03-03,Present
EMP0002,2026-03-02,Present
EMP0002,2026-03-01,Work From Home
EMP0002,2026-02-28,Work From Home
EMP0002,2026-02-27,Present
EMP0002,2026-02-26,Work From Home
EMP0002,2026-02-25,Present
EMP0003,2026-03-26,Present
EMP0003,2026-03-25,Present
EMP0003,2026-03-24,Present
EMP0003,2026-03-23,Present
EMP0003,2026-03-22,Present
EMP0003,2026-03-21,Present
EMP0003,2026-03-20,Work From Home
EMP0003,2026-03-19,Present
EMP0003,2026-03-18,Present
EMP0003,2026-03-17,Present
EMP0003,2026-03-16,Present
EMP0003,2026-03-15,Present
EMP0003,2026-03-14,Present
EMP0003,2026-03-13,Present
EMP0003,2026-03-12,Present
EMP0003,2026-03-11,Work From Home
EMP0003,2026-03-10,Present
EMP0003,2026-03-09,Present
EMP0003,2026-03-08,Present
EMP0003,2026-03-07,Work From Home
EMP0003,2026-03-06,Present
EMP0003,2026-03-05,Present
EMP0003,2026-03-04,Present
EMP0003,2026-03-03,Work From Home
EMP0003,2026-03-02,Present
EMP0003,2026-03-01,Present
EMP0003,2026-02-28,Present
EMP0003,2026-02-27,Present
EMP0003,2026-02-26,Present
EMP0003,2026-02-25,Present
EMP0004,2026-03-26,Present
EMP0004,2026-03-25,Work From Home
EMP0004,2026-03-24,Absent
EMP0004,2026-03-23,Work From Home
EMP0004,2026-03-22,Work From Home
EMP0004,2026-03-21,Present
EMP0004,2026-03-20,Present
EMP0004,2026-03-19,Present
EMP0004,2026-03-18,Absent
EMP0004,2026-03-17,Present
EMP0004,2026-03-16,Present
EMP0004,2026-03-15,Present
EMP0004,2026-03-14,Present
EMP0004,2026-03-13,Present
EMP0004,2026-03-12,Present
EMP0004,2026-03-11,Present
EMP0004,2026-03-10,Present
EMP0004,2026-03-09,Present
EMP0004,2026-03-08,Present
EMP0004,2026-03-07,Work From Home
EMP0004,2026-03-06,Present
EMP0004,2026-03-05,Present
EMP0004,2026-03-04,Absent
EMP0004,2026-03-03,Absent
EMP0004,2026-03-02,Present
EMP0004,2026-03-01,Work From Home
EMP0004,2026-02-28,Work From Home
EMP0004,2026-02-27,Work From Home
EMP0004,2026-02-26,Present
EMP0004,2026-02-25,Present
EMP0005,2026-03-26,Absent
EMP0005,2026-03-25,Present
EMP0005,2026-03-24,Present
EMP0005,2026-03-23,Present
EMP0005,2026-03-22,Present
EMP0005,2026-03-21,Present
EMP0005,2026-03-20,Present
EMP0005,2026-03-19,Absent
EMP0005,2026-03-18,Present
EMP0005,2026-03-17,Present
EMP0005,2026-03-16,Present
EMP0005,2026-03-15,Present
EMP0005,2026-03-14,Present
EMP0005,2026-03-13,Present
EMP0005,2026-03-12,Present
EMP0005,2026-03-11,Present
EMP0005,2026-03-10,Present
EMP0005,2026-03-09,Work From Home
EMP0005,2026-03-08,Present
EMP0005,2026-03-07,Present
EMP0005,2026-03-06,Present
EMP0005,2026-03-05,Present
EMP0005,2026-03-04,Present
EMP0005,2026-03-03,Present
EMP0005,2026-03-02,Present
EMP0005,2026-03-01,Absent
EMP0005,2026-02-28,Absent
EMP0005,2026-02-27,Work From Home
EMP0005,2026-02-26,Present
EMP0005,2026-02-25,Present
EMP0006,2026-03-26,Work From Home
EMP0006,2026-03-25,Present
EMP0006,2026-03-24,Present
EMP0006,2026-03-23,Work From Home
EMP0006,2026-03-22,Absent
EMP0006,2026-03-21,Present
EMP0006,2026-03-20,Present
EMP0006,2026-03-19,Present
EMP0006,2026-03-18,Present
EMP0006,2026-03-17,Work From Home
EMP0006,2026-03-16,Absent
EMP0006,2026-03-15,Present
EMP0006,2026-03-14,Present
EMP0006,2026-03-13,Present
EMP0006,2026-03-12,Work From Home
EMP0006,2026-03-11,Work From Home
EMP0006,2026-03-10,Present
EMP0006,2026-03-09,Present
EMP0006,2026-03-08,Present
EMP0006,2026-03-07,Present
EMP0006,2026-03-06,Work From Home
EMP0006,2026-03-05,Absent
EMP0006,2026-03-04,Present
EMP0006,2026-03-03,Absent
EMP0006,2026-03-02,Present
EMP0006,2026-03-01,Present
EMP0006,2026-02-28,Present
EMP0006,2026-02-27,Present
EMP0006,2026-02-26,Present
EMP0006,2026-02-25,Present
EMP0007,2026-03-26,Present
EMP0007,2026-03-25,Present
EMP0007,2026-03-24,Present
EMP0007,2026-03-23,Present
EMP0007,2026-03-22,Work From Home
EMP0007,2026-03-21,Present
EMP0007,2026-03-20,Present
EMP0007,2026-03-19,Present
EMP0007,2026-03-18,Work From Home
EMP0007,2026-03-17,Work From Home
EMP0007,2026-03-16,Present
EMP0007,2026-03-15,Present
EMP0007,2026-03-14,Absent
EMP0007,2026-03-13,Work From Home
EMP0007,2026-03-12,Absent
EMP0007,2026-03-11,Present
EMP0007,2026-03-10,Absent
EMP0007,2026-03-09,Present
EMP0007,2026-03-08,Present
EMP0007,2026-03-07,Present
EMP0007,2026-03-06,Present
EMP0007,2026-03-05,Present
EMP0007,2026-03-04,Absent
EMP0007,2026-03-03,Present
EMP0007,2026-03-02,Work From Home
EMP0007,2026-03-01,Work From Home
EMP0007,2026-02-28,Present
EMP0007,2026-02-27,Present
EMP0007,2026-02-26,Present
EMP0007,2026-02-25,Present
