employee_id,leave_type,start_date,end_date,days,status
EMP0001,Casual Leave,2026-02-23,2026-02-28,5,Rejected
EMP0001,Earned Leave,2025-07-27,2025-07-31,4,Rejected
EMP0001,Earned Leave,2025-10-21,2025-10-25,4,Approved
EMP0002,Casual Leave,2026-01-28,2026-01-30,2,Approved
EMP0002,Sick Leave,2025-07-02,2025-07-06,4,Rejected
EMP0002,Casual Leave,2025-12-07,2025-12-10,3,Approved
EMP0003,Earned Leave,2025-10-13,2025-10-15,2,Approved
EMP0003,Earned Leave,2026-03-14,2026-03-15,1,Rejected
EMP0003,Earned Leave,2025-10-09,2025-10-14,5,Approved
EMP0003,Earned Leave,2026-03-22,2026-03-23,1,Rejected
EMP0003,Sick Leave,2025-10-19,2025-10-20,1,Pending
EMP0004,Earned Leave,2025-06-23,2025-06-26,3,Rejected
EMP0004,Sick Leave,2025-06-21,2025-06-24,3,Approved
EMP0004,Earned Leave,2025-09-18,2025-09-23,5,Approved
EMP0005,Sick Leave,2025-11-02,2025-11-05,3,Rejected
EMP0005,Sick Leave,2026-03-05,2026-03-08,3,Rejected
EMP0006,Sick Leave,2026-03-24,2026-03-26,2,Approved
EMP0006,Earned Leave,2025-09-20,2025-09-23,3,Pending
EMP0006,Earned Leave,2025-12-08,2025-12-09,1,Rejected
EMP0006,Earned Leave,2026-03-08,2026-03-12,4,Rejected
EMP0007,Casual Leave,2025-05-04,2025-05-06,2,Pending
EMP0007,Casual Leave,2025-12-21,2025-12-26,5,Pending
EMP0007,Earned Leave,2026-01-25,2026-01-26,1,Approved
EMP0007,Earned Leave,2025-04-28,2025-04-29,1,Pending
EMP0007,Earned Leave,2025-08-25,2025-08-28,3,Approved
EMP0008,Sick Leave,2026-02-10,2026-02-13,3,Rejected
EMP0008,Sick Leave,2025-04-17,2025-04-20,3,Pending
EMP0009,Casual Leave,2025-06-08,2025-06-09,1,Pending
EMP0009,Sick Leave,2026-03-24,2026-03-27,3,Rejected
EMP0009,Sick Leave,2025-04-12,2025-04-17,5,Pending
EMP0009,Sick Leave,2025-03-30,2025-03-31,1,Rejected
EMP0009,Sick Leave,2025-08-19,2025-08-24,5,Pending
EMP0010,Sick Leave,2026-02-04,2026-02-08,4,Pending
EMP0010,Earned Leave,2025-04-22,2025-04-26,4,Rejected
EMP0010,Earned Leave,2026-02-06,2026-02-10,4,Rejected
EMP0010,Sick Leave,2026-03-10,2026-03-13,3,Rejected
EMP0010,Earned Leave,2025-08-11,2025-08-13,2,Approved
EMP0011,Sick Leave,2026-01-14,2026-01-17,3,Pending
EMP0011,Earned Leave,2025-08-02,2025-08-07,5,Pending
EMP0011,Earned Leave,2026-02-06,2026-02-09,3,Pending
EMP0011,Casual Leave,2025-08-18,2025-08-22,4,Approved
EMP0011,Earned Leave,2025-09-11,2025-09-15,4,Rejected
EMP0012,Sick Leave,2026-01-02,2026-01-06,4,Pending
EMP0012,Casual Leave,2025-10-28,2025-11-01,4,Approved
EMP0012,Sick Leave,2025-10-19,2025-10-23,4,Approved
EMP0013,Sick Leave,2025-08-24,2025-08-28,4,Rejected
EMP0013,Sick Leave,2025-10-17,2025-10-18,1,Pending
EMP0013,Sick Leave,2025-09-16,2025-09-18,2,Pending
EMP0013,Casual Leave,2025-09-05,2025-09-06,1,Rejected
EMP0013,Earned Leave,2026-01-22,2026-01-23,1,Rejected
EMP0013,Casual Leave,2025-08-06,2025-08-10,4,Approved
EMP0014,Casual Leave,2025-07-08,2025-07-10,2,Rejected
EMP0014,Sick Leave,2026-02-17,2026-02-18,1,Approved
EMP0014,Earned Leave,2026-02-26,2026-02-27,1,Rejected
EMP0014,Casual Leave,2025-08-21,2025-08-23,2,Approved
EMP0014,Sick Leave,2026-02-04,2026-02-05,1,Pending
EMP0014,Sick Leave,2026-01-29,2026-02-02,4,Pending
EMP0014,Casual Leave,2025-08-19,2025-08-20,1,Rejected
EMP0015,Earned Leave,2025-08-09,2025-08-10,1,Rejected
EMP0015,Casual Leave,2025-08-03,2025-08-06,3,Pending
EMP0015,Sick Leave,2025-05-07,2025-05-12,5,Approved
EMP0015,Sick Leave,2025-11-22,2025-11-25,3,Approved
EMP0015,Earned Leave,2025-08-01,2025-08-06,5,Rejected
EMP0015,Casual Leave,2025-12-27,2025-12-31,4,Rejected
EMP0015,Casual Leave,2025-11-10,2025-11-15,5,Approved
EMP0015,Casual Leave,2025-04-20,2025-04-24,4,Rejected
EMP0016,Earned Leave,2025-05-19,2025-05-21,2,Pending
EMP0016,Earned Leave,2025-06-07,2025-06-09,2,Rejected
EMP0017,Sick Leave,2025-07-16,2025-07-18,2,Pending
EMP0017,Earned Leave,2025-08-02,2025-08-07,5,Pending
EMP0017,Casual Leave,2025-07-09,2025-07-11,2,Rejected
EMP0017,Sick Leave,2026-01-08,2026-01-13,5,Pending
EMP0017,Casual Leave,2025-04-14,2025-04-15,1,Rejected
EMP0017,Sick Leave,2026-02-16,2026-02-18,2,Pending
EMP0018,Casual Leave,2026-03-10,2026-03-11,1,Pending
EMP0018,Sick Leave,2025-03-29,2025-03-30,1,Rejected
EMP0018,Casual Leave,2025-11-05,2025-11-08,3,Rejected
EMP0018,Earned Leave,2025-07-06,2025-07-11,5,Pending
EMP0018,Earned Leave,2025-11-03,2025-11-08,5,Pending
EMP0018,Sick Leave,2025-07-16,2025-07-18,2,Approved
EMP0019,Sick Leave,2025-05-16,2025-05-19,3,Pending
EMP0019,Casual Leave,2025-04-08,2025-04-12,4,Rejected
EMP0019,Earned Leave,2025-08-30,2025-09-04,5,Approved
EMP0019,Earned Leave,2025-04-01,2025-04-03,2,Pending
EMP0019,Sick Leave,2025-11-20,2025-11-23,3,Rejected
EMP0019,Earned Leave,2025-09-29,2025-10-02,3,Rejected
EMP0019,Sick Leave,2025-12-18,2025-12-20,2,Rejected
EMP0019,Casual Leave,2025-10-20,2025-10-23,3,Approved
EMP0020,Sick Leave,2025-07-19,2025-07-23,4,Approved
EMP0020,Sick Leave,2025-05-02,2025-05-03,1,Rejected
EMP0020,Sick Leave,2025-08-21,2025-08-25,4,Approved
EMP0020,Casual Leave,2025-07-25,2025-07-28,3,Approved
EMP0020,Earned Leave,2025-07-20,2025-07-25,5,Pending
EMP0021,Sick Leave,2025-09-26,2025-09-27,1,Approved
EMP0021,Earned Leave,2025-11-02,2025-11-03,1,Pending
EMP0021,Casual Leave,2025-11-24,2025-11-25,1,Approved
EMP0021,Casual Leave,2026-02-24,2026-02-26,2,Approved
EMP0021,Casual Leave,2025-09-20,2025-09-23,3,Approved
EMP0021,Earned Leave,2026-02-10,2026-02-11,1,Rejected
EMP0022,Casual Leave,2025-12-05,2025-12-07,2,Rejected
EMP0022,Sick Leave,2026-01-12,2026-01-13,1,Pending
EMP0023,Earned Leave,2025-11-17,2025-11-18,1,Pending
EMP0023,Earned Leave,2026-03-14,2026-03-16,2,Approved
EMP0023,Earned Leave,2026-03-18,2026-03-20,2,Pending
EMP0023,Earned Leave,2025-05-08,2025-05-10,2,Rejected
EMP0023,Sick Leave,2025-07-01,2025-07-03,2,Approved
EMP0023,Casual Leave,2025-06-26,2025-06-28,2,Approved
EMP0024,Sick Leave,2025-09-17,2025-09-19,2,Approved
EMP0024,Earned Leave,2025-08-28,2025-09-01,4,Rejected
EMP0024,Sick Leave,2026-01-11,2026-01-12,1,Approved
EMP0024,Earned Leave,2025-11-05,2025-11-10,5,Approved
EMP0024,Sick Leave,2025-06-14,2025-06-17,3,Pending
EMP0025,Sick Leave,2025-04-08,2025-04-13,5,Pending
EMP0025,Earned Leave,2025-08-13,2025-08-17,4,Approved
EMP0025,Earned Leave,2025-12-11,2025-12-12,1,Approved
EMP0025,Casual Leave,2025-06-04,2025-06-08,4,Approved
EMP0025,Earned Leave,2025-10-24,2025-10-28,4,Pending
EMP0025,Casual Leave,2025-09-25,2025-09-27,2,Pending
EMP0025,Casual Leave,2025-08-23,2025-08-25,2,Pending
EMP0025,Sick Leave,2025-07-17,2025-07-20,3,Approved
